,China,Germany,EU,France,UK,India,Ireland,Japan,US,California,Texas
1990,3.60858E+11,1.76497E+12,7.57875E+12,1.26918E+12,1.09317E+12,3.20979E+11,49364679953,3.13282E+12,5.96314E+12,,
1991,3.83373E+11,1.86187E+12,7.8597E+12,1.26928E+12,1.1428E+12,2.70105E+11,49847127139,3.58442E+12,6.15813E+12,,
1992,4.26916E+11,2.12313E+12,8.56287E+12,1.40147E+12,1.17966E+12,2.88208E+11,55985505025,3.90881E+12,6.52033E+12,,
1993,4.44731E+11,2.06856E+12,7.80885E+12,1.32282E+12,1.06139E+12,2.79296E+11,52480251773,4.45414E+12,6.85856E+12,,
1994,5.64325E+11,2.20597E+12,8.29322E+12,1.39398E+12,1.14049E+12,3.27276E+11,57166035571,4.90704E+12,7.28724E+12,,
1995,7.34548E+11,2.59162E+12,9.63002E+12,1.60109E+12,1.33586E+12,3.60282E+11,69222624369,5.44912E+12,7.63975E+12,,
1996,8.63747E+11,2.50367E+12,9.84049E+12,1.60568E+12,1.40941E+12,3.92897E+11,75880630166,4.83371E+12,8.07312E+12,,
1997,9.61604E+11,2.21869E+12,9.28751E+12,1.45288E+12,1.55362E+12,4.15868E+11,82826141595,4.41473E+12,8.57755E+12,1.07052E+12,6.10257E+11
1998,1.02904E+12,2.24323E+12,9.60695E+12,1.50311E+12,1.64167E+12,4.21351E+11,90082051923,4.03251E+12,9.06282E+12,1.14784E+12,6.45697E+11
1999,1.094E+12,2.19996E+12,9.59081E+12,1.49265E+12,1.66827E+12,4.5882E+11,98692079267,4.56208E+12,9.63066E+12,1.24709E+12,6.81335E+11
2000,1.21135E+12,1.94995E+12,8.91019E+12,1.36225E+12,1.64827E+12,4.68395E+11,99852958356,4.88752E+12,1.02523E+13,1.36656E+12,7.38871E+11
2001,1.3394E+12,1.95065E+12,9.01285E+12,1.37647E+12,1.6258E+12,4.85441E+11,1.09135E+11,4.30354E+12,1.05818E+13,1.38411E+12,7.73007E+11
2002,1.47055E+12,2.07914E+12,9.82753E+12,1.49429E+12,1.77302E+12,5.14938E+11,1.2795E+11,4.11512E+12,1.09364E+13,1.43643E+12,7.87258E+11
2003,1.66029E+12,2.50573E+12,1.19602E+13,1.84048E+12,2.04383E+12,6.07699E+11,1.64285E+11,4.44566E+12,1.14582E+13,1.52729E+12,8.29764E+11
2004,1.95535E+12,2.81925E+12,1.3809E+13,2.11574E+12,2.40361E+12,7.09149E+11,1.93871E+11,4.81515E+12,1.22137E+13,1.63222E+12,9.06321E+11
2005,2.28597E+12,2.86141E+12,1.44432E+13,2.19613E+12,2.52501E+12,8.20382E+11,2.11649E+11,4.75541E+12,1.30366E+13,1.75387E+12,9.86401E+11
2006,2.75213E+12,3.00245E+12,1.54086E+13,2.31859E+12,2.69715E+12,9.4026E+11,2.32083E+11,4.53038E+12,1.38146E+13,1.87474E+12,1.08529E+12
2007,3.55034E+12,3.43995E+12,1.78108E+13,2.65721E+12,3.08412E+12,1.21674E+12,2.69918E+11,4.51526E+12,1.44519E+13,1.95586E+12,1.17858E+12
2008,4.59431E+12,3.75237E+12,1.91636E+13,2.91838E+12,2.90404E+12,1.1989E+12,2.75039E+11,5.03791E+12,1.47128E+13,1.99068E+12,1.23739E+12
2009,5.1017E+12,3.41801E+12,1.71266E+13,2.69022E+12,2.39479E+12,1.34189E+12,2.36316E+11,5.23138E+12,1.44489E+13,1.92006E+12,1.1634E+12
2010,6.08716E+12,3.41709E+12,1.70096E+13,2.64261E+12,2.4529E+12,1.67562E+12,2.22149E+11,5.7001E+12,1.49921E+13,1.97461E+12,1.2372E+12
2011,7.5515E+12,3.7577E+12,1.83743E+13,2.86141E+12,2.6349E+12,1.82305E+12,2.37472E+11,6.15746E+12,1.55426E+13,2.05006E+12,1.33122E+12
2012,8.53223E+12,3.54398E+12,1.73169E+13,2.68383E+12,2.67661E+12,1.82764E+12,2.24999E+11,6.20321E+12,1.6197E+13,2.1445E+12,1.41138E+12
2013,9.57041E+12,3.75251E+12,1.80527E+13,2.81108E+12,2.75357E+12,1.85672E+12,2.38544E+11,5.15572E+12,1.67848E+13,2.26277E+12,1.50225E+12
2014,1.04385E+13,3.89873E+12,1.86687E+13,2.85217E+12,3.03473E+12,2.03913E+12,2.58472E+11,4.85041E+12,1.75217E+13,2.39516E+12,1.57282E+12
2015,1.10155E+13,3.38139E+12,1.64465E+13,2.43821E+12,2.89642E+12,2.10359E+12,2.915E+11,4.38948E+12,1.82193E+13,2.55377E+12,1.56846E+12
2016,1.11379E+13,3.49516E+12,1.65514E+13,2.47129E+12,2.65924E+12,2.29043E+12,3.00523E+11,4.92667E+12,1.87072E+13,2.6578E+12,1.56563E+12
2017,1.21435E+13,3.6932E+12,1.73496E+13,2.58629E+12,2.63787E+12,2.65255E+12,3.34834E+11,4.85995E+12,1.94854E+13,2.81911E+12,1.66563E+12
2018,1.36082E+13,3.99676E+12,1.87561E+13,2.77754E+12,2.82521E+12,2.72632E+12,3.82487E+11,4.97092E+12,2.04941E+13,2.99773E+12,1.80251E+12
